"เดือน","ปีงบประมาณ","รหัสเครื่อง","ประเภทงานพิมพ์","สถานที่","หน่วยงาน","รุ่น","มิเตอร์ครั้งก่อน","มิเตอร์ครั้งหลัง","จำนวนแผ่น","กระดาษเสีย 3%","ยอดใช้สุทธิ","ราคา/แผ่น","ยอดเบิก (คำนวณ)","ยอดตามใบแจ้งหนี้","ผลต่าง","ตรวจสอบ"
"2568-09","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,481","36,524","43 แผ่น","1 แผ่น","42 แผ่น","0.59","24.78","24.78","0.00","ปกติ"
"2568-09","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","17,554","17,891","337 แผ่น","10 แผ่น","327 แผ่น","2.90","948.30","948.30","0.00","ปกติ"
"2568-09","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","381,809","384,336","2,527 แผ่น","76 แผ่น","2,451 แผ่น","0.33","808.83","808.83","0.00","ปกติ"
"2568-08","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,444","36,481","37 แผ่น","1 แผ่น","36 แผ่น","0.59","21.24","21.24","0.00","ปกติ"
"2568-08","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","17,389","17,554","165 แผ่น","5 แผ่น","160 แผ่น","2.90","464.00","464.00","0.00","ปกติ"
"2568-08","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","380,663","381,809","1,146 แผ่น","34 แผ่น","1,112 แผ่น","0.33","366.96","366.96","0.00","ปกติ"
"2568-07","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,245","36,444","199 แผ่น","6 แผ่น","193 แผ่น","0.59","113.87","113.87","0.00","ปกติ"
"2568-07","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","16,720","17,389","669 แผ่น","20 แผ่น","649 แผ่น","2.90","1,882.10","1,882.10","0.00","ปกติ"
"2568-07","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","378,833","380,663","1,830 แผ่น","55 แผ่น","1,775 แผ่น","0.33","585.75","585.75","0.00","ปกติ"
"2568-06","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,221","36,245","24 แผ่น","1 แผ่น","23 แผ่น","0.59","13.57","13.57","0.00","ปกติ"
"2568-06","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","16,429","16,720","291 แผ่น","9 แผ่น","282 แผ่น","2.90","817.80","817.80","0.00","ปกติ"
"2568-06","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","378,150","378,833","683 แผ่น","20 แผ่น","663 แผ่น","0.33","218.79","218.79","0.00","ปกติ"
"2568-05","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,214","36,221","7 แผ่น","0 แผ่น","7 แผ่น","0.59","4.13","4.13","0.00","ปกติ"
"2568-05","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","16,332","16,429","97 แผ่น","3 แผ่น","94 แผ่น","2.90","272.60","272.60","0.00","ปกติ"
"2568-05","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","377,753","378,150","397 แผ่น","12 แผ่น","385 แผ่น","0.33","127.05","127.05","0.00","ปกติ"
"2568-04","2568","07RRBJMK100009N","ขาว-ดำ (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","36,193","36,214","21 แผ่น","1 แผ่น","20 แผ่น","0.59","11.80","11.80","0.00","ปกติ"
"2568-04","2568","07RRBJMK100009N","สี (เครื่องสี)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-X4300LX","15,891","16,332","441 แผ่น","13 แผ่น","428 แผ่น","2.90","1,241.20","1,241.20","0.00","ปกติ"
"2568-04","2568","0A3HB1DH600055M","ขาว-ดำ (เครื่องขาว-ดำ)","อาคารเรียนและปฏิบัติการรวม ชั้น 1","งานกิจการนักศึกษา งานวิเทศสัมพันธ์ งานประชาสัมพันธ์","SL-K7500LX","376,976","377,753","777 แผ่น","23 แผ่น","754 แผ่น","0.33","248.82","248.82","0.00","ปกติ"
